,App,Category,Rating,Reviews,Size,Installs,Free,Price_dollars,Content Rating,Genres,Last Updated,Current Ver,Android Ver
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11M,"10,000+",False,0.0,Everyone,Art & Design,2017-11-29,1.3,4.0.3 and up
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4M,"500,000+",False,0.0,Everyone,Art & Design,2018-03-31,1,4.0 and up
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15M,"10,000+",False,0.0,Everyone,Art & Design,2018-07-20,2.0.1,4.0.3 and up
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10M,"100,000+",False,0.0,Everyone,Art & Design,2018-04-02,1.0,4.0.3 and up
42,Textgram - write on photos,ART_AND_DESIGN,4.4,295221,Varies with device,"10,000,000+",False,0.0,Everyone,Art & Design,2018-07-30,Varies with device,Varies with device
43,Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2M,"100,000+",False,0.0,Everyone,Art & Design;Creativity,2018-04-15,1.46,4.1 and up
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12M,"10,000+",False,0.0,Everyone,Art & Design,2018-01-03,1.0.0,4.1 and up
45,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,"10,000,000+",False,0.0,Everyone,Art & Design,2018-07-31,1.6.1,4.1 and up
46,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26M,"100,000+",False,0.0,Everyone,Art & Design,2017-11-14,1.6,4.1 and up
47,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0M,"100,000+",False,0.0,Everyone,Art & Design,2017-12-17,2.0.0,4.1 and up
48,How To Draw Food,ART_AND_DESIGN,4.3,845,7.9M,"100,000+",False,0.0,Everyone,Art & Design,2018-05-28,1.0,2.3 and up
49,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-05-10,1.0,4.0.3 and up
50,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56M,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-26,11.0,4.1 and up
51,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up
52,Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,4.6,17057,Varies with device,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device
53,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up
54,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0,4.1 and up
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-18,1.7.1,4.0 and up
56,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6M,"50,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-29,2.5.1,4.4 and up
57,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up
58,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201k,"100,000+",False,0.0,Everyone,Auto & Vehicles,2014-08-26,1.0.1,2.2 and up
59,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-30,2.493,4.4 and up
60,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7M,"10,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-08,1.9.1,4.0.3 and up
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up
62,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6M,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-28,2.20 Build 02,4.1 and up
63,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0 and up
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up
65,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7M,"10,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-30,0.2.1,4.4 and up
66,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5M,"50,000+",False,0.0,Everyone,Auto & Vehicles,2016-10-14,1.0,2.3 and up
67,Ulysse Speedometer,AUTO_AND_VEHICLES,4.3,40211,Varies with device,"5,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device
68,REPUVE,AUTO_AND_VEHICLES,3.9,356,Varies with device,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-05-25,Varies with device,Varies with device
69,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0M,"5,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-16,4.47.3,4.0.3 and up
70,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35M,"5,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-08-02,1.9.7,4.0.3 and up
71,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16M,"500,000+",False,0.0,Everyone,Auto & Vehicles,2018-08-02,2.2.21,4.2 and up
72,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000+",False,0.0,Teen,Auto & Vehicles,2018-07-11,Varies with device,5.0 and up
73,PDD-UA,AUTO_AND_VEHICLES,4.8,736,Varies with device,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-29,2.9,2.3.3 and up
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17M,"500,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-27,1.79,4.0 and up
75,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4M,"50,000+",False,0.0,Everyone,Auto & Vehicles,2018-06-14,1.3,4.0 and up
76,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-06-08,2.3.5.1,4.1 and up
77,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9M,"1,000,000+",False,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,1.6,4.0 and up
78,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1 and up
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38M,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-15,8.31,4.1 and up
80,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32M,"50,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-24,1.1.5.0,6.0 and up
81,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37M,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-27,10.0.2,4.2 and up
82,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15M,"500,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-30,1.10.3,5.0 and up
83,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-23,1.0,4.0.3 and up
84,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18M,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-23,3.20.1,4.4 and up
85,CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,4.4,21777,Varies with device,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-08-04,Varies with device,Varies with device
86,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-29,1.0.3,2.3 and up
87,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-04-27,1.4,4.0.3 and up
88,AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,Varies with device,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-08-03,Varies with device,Varies with device
89,Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,4.6,7880,Varies with device,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-05-10,4.6.5,Varies with device
90,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-05-16,2.8.2,4.1 and up
91,SKencar,AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0.3,4.0.3 and up
92,Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,Varies with device,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-08-02,Varies with device,4.0.3 and up
93,auto fines,AUTO_AND_VEHICLES,4.6,31433,17M,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-08-02,1.40,4.0.3 and up
94,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19M,"1,000,000+",False,0.0,Everyone,Auto & Vehicles,2018-07-23,1.5.18,4.0.3 and up
95,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14M,"500,000+",False,0.0,Everyone,Auto & Vehicles,2018-06-02,2.3.4,4.0 and up
96,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2M,"500,000+",False,0.0,Everyone,Auto & Vehicles,2018-03-20,1.03,4.0.3 and up
97,Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5M,"100,000+",False,0.0,Everyone,Auto & Vehicles,2018-04-21,2.17,4.0 and up
98,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17M,"500,000+",False,0.0,Everyone,Beauty,2018-08-02,6.10.1,5.0 and up
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14M,"1,000,000+",False,0.0,Everyone,Beauty,2017-11-09,2.3.0,4.1 and up
100,Natural recipes for your beauty,BEAUTY,4.7,1150,9.8M,"100,000+",False,0.0,Everyone,Beauty,2018-05-15,4.0,4.1 and up
101,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"500,000+",False,0.0,Everyone,Beauty,2018-07-12,1.0.6,4.0.3 and up
102,Mirror - Zoom & Exposure -,BEAUTY,3.9,32090,Varies with device,"1,000,000+",False,0.0,Everyone,Beauty,2016-10-24,Varies with device,Varies with device
103,Beauty Selfie Camera,BEAUTY,4.2,2225,52M,"500,000+",False,0.0,Everyone,Beauty,2018-02-28,1.6,4.1 and up
104,Hairstyles step by step,BEAUTY,4.6,4369,14M,"100,000+",False,0.0,Everyone,Beauty,2018-07-25,1.9,4.0.3 and up
105,Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000+",False,0.0,Everyone,Beauty,2018-05-10,1.1.0,4.0 and up
106,Tie - Always be happy,BEAUTY,4.7,964,9.0M,"50,000+",False,0.0,Everyone,Beauty,2018-06-21,4.0,4.2 and up
107,Ulta Beauty,BEAUTY,4.7,42050,Varies with device,"1,000,000+",False,0.0,Everyone,Beauty,2018-06-05,5.4,5.0 and up
108,Prom MakeUp Tutorial,BEAUTY,4.8,104,12M,"10,000+",False,0.0,Everyone,Beauty,2018-06-26,1.3,4.0.3 and up
109,Selfie Camera,BEAUTY,4.2,17934,Varies with device,"1,000,000+",False,0.0,Everyone,Beauty,2017-09-12,Varies with device,Varies with device
110,Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35M,"100,000+",False,0.0,Everyone,Beauty,2018-06-02,2.0.0,4.0 and up
111,Colors of white in Urdu,BEAUTY,4.5,36,6.7M,"10,000+",False,0.0,Everyone,Beauty,2018-07-26,6.0,4.0 and up
112,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30M,"50,000+",False,0.0,Teen,Beauty,2018-07-24,3.0.1,4.0.3 and up
113,Wrinkles and rejuvenation,BEAUTY,,182,5.7M,"100,000+",False,0.0,Everyone 10+,Beauty,2017-09-20,8.0,3.0 and up
114,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9M,"10,000+",False,0.0,Everyone,Beauty,2018-04-09,3.3.9,4.0.3 and up
115,Photo Editor 2018,BEAUTY,4.5,134,17M,"10,000+",False,0.0,Everyone,Beauty,2018-03-01,1.20,4.0.3 and up
116,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9M,"10,000+",False,0.0,Everyone,Beauty,2018-04-05,2.3.09,4.0.3 and up
117,Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,Varies with device,"10,000,000+",False,0.0,Everyone,Beauty,2017-08-03,Varies with device,Varies with device
118,Girls Hairstyles,BEAUTY,4.1,3595,Varies with device,"500,000+",False,0.0,Everyone,Beauty,2018-05-24,Varies with device,4.0 and up
119,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6M,"1,000,000+",False,0.0,Everyone,Beauty,2017-11-21,1.4.2,4.0 and up
120,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2M,"50,000+",False,0.0,Everyone,Beauty,2017-10-18,1.0.0,4.0.3 and up
121,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1M,"10,000+",False,0.0,Everyone,Beauty,2018-05-29,1.0,4.0 and up
122,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57M,"1,000,000+",False,0.0,Everyone,Beauty,2018-07-24,18.5,5.0 and up
123,Manicure - nail design,BEAUTY,,119,3.7M,"50,000+",False,0.0,Everyone,Beauty,2018-07-23,1.3,4.1 and up
124,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22M,"500,000+",False,0.0,Everyone,Beauty,2018-07-12,1.1.0,4.0.3 and up
125,Filters for B Live,BEAUTY,4.4,2280,24M,"500,000+",False,0.0,Everyone,Beauty,2018-05-14,1.1.0,4.0 and up
126,Skin Care and Natural Beauty,BEAUTY,,654,7.4M,"100,000+",False,0.0,Teen,Beauty,2018-07-17,1.15,4.1 and up
127,Facial Wrinkle Reduction,BEAUTY,4.6,184,21M,"10,000+",False,0.0,Everyone,Beauty,2018-07-02,1.5,4.1 and up
128,Makeup Videos,BEAUTY,3.8,9,3.4M,"5,000+",False,0.0,Everyone,Beauty,2018-06-07,1.0,4.0 and up
129,"Secrets of beauty, youth and health",BEAUTY,,77,2.9M,"10,000+",False,0.0,Mature 17+,Beauty,2017-08-08,2.0,2.3 and up
130,Recipes and tips for losing weight,BEAUTY,,35,3.1M,"10,000+",False,0.0,Everyone 10+,Beauty,2017-12-11,2.0,3.0 and up
131,Discover Color,BEAUTY,4.0,364,6.4M,"100,000+",False,0.0,Everyone,Beauty,2018-05-24,1.1,4.0.3 and up
132,Eyeliner step by step 2018,BEAUTY,4.3,18,3.2M,"5,000+",False,0.0,Everyone,Beauty,2018-06-01,1.2.13,4.0.3 and up
133,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,"100,000+",False,0.0,Mature 17+,Beauty,2017-03-01,1.0.2.0,1.6 and up
134,"Lady adviser (beauty, health)",BEAUTY,,30,9.9M,"10,000+",False,0.0,Mature 17+,Beauty,2018-01-24,3.0,3.0 and up
135,Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9M,"10,000+",False,0.0,Everyone,Beauty,2018-04-05,3.1.89,4.0.3 and up
136,Rainbow Camera,BEAUTY,3.7,3871,23M,"1,000,000+",False,0.0,Everyone,Beauty,2018-07-30,2.2.0,4.0 and up
137,Methods of teeth whitening,BEAUTY,4.7,257,4.6M,"50,000+",False,0.0,Everyone,Beauty,2017-08-07,1.0,4.0.3 and up
138,Girls hairstyles 2018,BEAUTY,4.2,62,3.1M,"10,000+",False,0.0,Everyone,Beauty,2018-05-28,1.9.2,4.0.3 and up
139,Wattpad 📖 Free Books,BOOKS_AND_REFERENCE,4.6,2914724,Varies with device,"100,000,000+",False,0.0,Teen,Books & Reference,2018-08-01,Varies with device,Varies with device
140,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9M,"50,000+",False,0.0,Everyone,Books & Reference,2018-08-03,1.3.2,4.4 and up
141,Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5M,"100,000+",False,0.0,Everyone 10+,Books & Reference,2017-07-31,1.1,4.0 and up
142,Wikipedia,BOOKS_AND_REFERENCE,4.4,577550,Varies with device,"10,000,000+",False,0.0,Everyone,Books & Reference,2018-08-02,Varies with device,Varies with device
143,Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,"100,000,000+",False,0.0,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device
144,Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,"10,000,000+",False,0.0,Everyone,Books & Reference,2015-07-17,Varies with device,1.5 and up
145,Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,Varies with device,"10,000,000+",False,0.0,Everyone,Books & Reference,2018-05-18,Varies with device,Varies with device
146,NOOK: Read eBooks & Magazines,BOOKS_AND_REFERENCE,4.5,155446,Varies with device,"10,000,000+",False,0.0,Teen,Books & Reference,2018-04-25,Varies with device,Varies with device
147,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2M,"100,000+",False,0.0,Everyone,Books & Reference,2018-03-27,2.1,4.1 and up
148,Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4M,"1,000,000+",False,0.0,Teen,Books & Reference,2018-06-06,3.2.1,4.0 and up
149,FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,Varies with device,"10,000,000+",False,0.0,Everyone,Books & Reference,2018-06-28,Varies with device,Varies with device
150,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8M,"500,000+",False,0.0,Everyone,Books & Reference,2018-01-21,1.0,4.0 and up
151,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0M,"1,000,000+",False,0.0,Teen,Books & Reference,2018-08-01,2.0.075,4.0.3 and up
152,Google Play Books,BOOKS_AND_REFERENCE,3.9,1433233,Varies with device,"1,000,000,000+",False,0.0,Teen,Books & Reference,2018-08-03,Varies with device,Varies with device
153,AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000+",False,0.0,Everyone,Books & Reference,2018-05-27,1.911805270,2.3 and up
154,Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13M,"100,000+",False,0.0,Everyone,Books & Reference,2018-07-17,1.0,4.0.3 and up
155,Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1M,"10,000,000+",False,0.0,Everyone,Books & Reference,2018-07-11,9.1.363,4.1 and up
156,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7M,"500,000+",False,0.0,Everyone,Books & Reference,2018-08-04,1.1.6,4.0.3 and up
157,Spanish English Translator,BOOKS_AND_REFERENCE,4.2,87873,Varies with device,"10,000,000+",False,0.0,Teen,Books & Reference,2018-05-28,Varies with device,Varies with device
158,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17M,"1,000,000+",False,0.0,Everyone,Books & Reference,2018-07-20,2.3.18,4.1 and up
159,Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19M,"1,000,000+",False,0.0,Everyone,Books & Reference,2018-04-27,2.2.5,4.1 and up
160,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7M,"500,000+",False,0.0,Everyone,Books & Reference,2018-05-17,15.0,2.3 and up
161,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21M,"1,000,000+",False,0.0,Everyone,Books & Reference,2018-06-02,18.05.31+530,4.1 and up
162,NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,4.7,19080,Varies with device,"500,000+",False,0.0,Everyone,Books & Reference,2018-04-25,Varies with device,Varies with device
163,Anonymous caller detection,BOOKS_AND_REFERENCE,,161,2.7M,"10,000+",False,0.0,Everyone,Books & Reference,2018-07-13,1.0,2.3 and up
164,Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",False,0.0,Everyone,Books & Reference,2018-06-25,5.0.6,4.0 and up
