,App,Category,Rating,Reviews,Size,Installs,Free,Price_dollars,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1017,Happy Birthday Songs Offline,EVENTS,4.4,464,8.9M,"100,000+",False,0.0,Everyone,Events,2017-12-04,1.3,4.1 and up
1018,Series Valley of the Wolves full of part,EVENTS,4.6,731,11M,"50,000+",False,0.0,Everyone,Events,2017-12-24,2.0,4.0 and up
1019,Mummatikabalkuragi,EVENTS,4.9,69,334k,"1,000+",False,0.0,Teen,Events,2018-07-22,1.0,4.0 and up
1020,"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,4.5,8800,24M,"1,000,000+",False,0.0,Everyone,Events,2018-07-17,11.1.1,5.0 and up
1021,"PTI Flex Maker, Photo Frame Editor & Songs 2018",EVENTS,4.6,99,13M,"10,000+",False,0.0,Everyone,Events,2018-07-06,1.1,4.2 and up
1022,Wipe out,EVENTS,4.7,30,Varies with device,500+,False,0.0,Teen,Events,2018-05-23,Varies with device,Varies with device
1023,Birthdays & Other Events,EVENTS,4.3,456,2.8M,"50,000+",False,0.0,Everyone,Events,2018-06-21,1.75,2.3.3 and up
1024,Sarajevo Film Festival - Official,EVENTS,,6,9.7M,100+,False,0.0,Everyone 10+,Events,2018-07-31,2.0.1,4.4W and up
1025,Summer Madness,EVENTS,,4,1.4M,100+,False,0.0,Everyone,Events,2018-07-26,1.107,4.0 and up
1026,Events High - Meet Your City!,EVENTS,4.2,3200,Varies with device,"100,000+",False,0.0,Everyone 10+,Events,2018-06-23,Varies with device,Varies with device
1027,vide-greniers.org,EVENTS,4.3,5839,3.5M,"100,000+",False,0.0,Everyone,Events,2016-11-08,16.11.8,2.3.3 and up
1028,SUMMER SONIC app,EVENTS,5.0,4,61M,500+,False,0.0,Everyone,Events,2018-07-24,1.0,4.4 and up
1029,Quake & Volcanoes: 3D Globe of Volcanic Eruptions,EVENTS,4.4,663,6.0M,"100,000+",False,0.0,Everyone,Events,2017-10-14,1.1.3,4.1 and up
1030,Prosperity,EVENTS,5.0,16,2.3M,100+,False,0.0,Everyone,Events,2018-07-09,1.14,2.0 and up
1031,Picktrainer: India's largest photo contest app,EVENTS,4.5,1065,9.0M,"100,000+",False,0.0,Everyone,Events,2018-05-31,1.3.2,4.1 and up
1032,AAS-IN-ASIA 2018,EVENTS,,3,11M,100+,False,0.0,Everyone,Events,2018-07-04,1.1.9,4.1 and up
1033,Moot Peru 2018,EVENTS,,13,27M,"1,000+",False,0.0,Everyone,Events,2018-06-28,1.0,3.0 and up
1034,FM News,EVENTS,,46,3.6M,"5,000+",False,0.0,Everyone,Events,2018-07-04,1.4,4.2 and up
1035,Goldstar: Live Event Tickets,EVENTS,4.5,1953,Varies with device,"100,000+",False,0.0,Teen,Events,2018-08-01,Varies with device,Varies with device
1036,Emmabodafestivalen,EVENTS,4.8,12,29M,"1,000+",False,0.0,Everyone 10+,Events,2018-06-28,42.0,4.2 and up
1037,KudaGo - things to do in NY,EVENTS,4.4,4298,4.4M,"100,000+",False,0.0,Everyone,Events,2017-04-27,2.2.2,4.0 and up
1038,Mindvalley U Tallinn 2018,EVENTS,5.0,1,21M,100+,False,0.0,Everyone,Events,2018-07-03,1.0.5,4.4 and up
1039,Rockmaraton Info,EVENTS,,49,13M,"1,000+",False,0.0,Everyone,Events,2018-07-08,18.4,4.4 and up
1040,Freitas Auctioneer Official,EVENTS,3.7,100,27M,"50,000+",False,0.0,Everyone,Events,2017-12-15,1.0.11,4.0.3 and up
1041,mobLee Events,EVENTS,,11,11M,"5,000+",False,0.0,Everyone,Events,2018-05-30,3.05.30.16,4.1 and up
1042,"Xceed - Clubs, DJs, Festivals & Tickets",EVENTS,4.1,399,24M,"100,000+",False,0.0,Everyone,Events,2018-08-03,Cannonau 3.11.11,5.0 and up
1043,AMM Events & CPD,EVENTS,,5,6.1M,100+,False,0.0,Everyone,Events,2018-08-04,1.0.5,4.3 and up
1044,Arab Halls - For Wedding & Events,EVENTS,4.8,28,6.3M,"1,000+",False,0.0,Everyone,Events,2018-05-20,8.0bld14,4.1 and up
1045,MeAuDote - An act of love that saves a life,EVENTS,,250,23M,"1,000+",False,0.0,Everyone,Events,2018-06-22,1.0.11,4.1 and up
1046,TCF National Conference,EVENTS,,1,34M,100+,False,0.0,Everyone,Events,2018-07-11,1.0,4.1 and up
1047,Endurance Lifestyle,EVENTS,4.6,7,3.8M,500+,False,0.0,Teen,Events,2017-07-10,2.1,4.2 and up
1048,K PLUS,FINANCE,4.4,124424,Varies with device,"10,000,000+",False,0.0,Everyone,Finance,2018-06-26,4.6.0,4.2 and up
1049,ING Banking,FINANCE,4.4,39041,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-08-03,Varies with device,Varies with device
1050,Citibanamex Movil,FINANCE,3.6,52306,42M,"5,000,000+",False,0.0,Everyone,Finance,2018-07-27,20.1.0,5.0 and up
1051,The postal bank,FINANCE,3.7,36718,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-07-16,Varies with device,Varies with device
1052,KTB Netbank,FINANCE,3.8,42644,19M,"5,000,000+",False,0.0,Everyone,Finance,2018-06-28,8.18,4.2 and up
1053,Mobile Bancomer,FINANCE,4.2,278082,70M,"10,000,000+",False,0.0,Everyone,Finance,2018-07-30,10.78,4.0.3 and up
1054,Nedbank Money,FINANCE,4.2,6076,32M,"500,000+",False,0.0,Everyone,Finance,2018-07-28,4.1.1-0-prod,4.2 and up
1055,SCB EASY,FINANCE,4.2,112656,93M,"5,000,000+",False,0.0,Everyone,Finance,2018-07-19,3.9.0,4.1 and up
1056,CASHIER,FINANCE,3.3,335738,Varies with device,"10,000,000+",False,0.0,Everyone,Finance,2018-05-03,Varies with device,Varies with device
1057,Rabo Banking,FINANCE,3.4,31906,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-19,5.16.0,4.0 and up
1058,Capitec Remote Banking,FINANCE,4.3,20672,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-05-08,Varies with device,Varies with device
1059,Itau bank,FINANCE,4.2,957973,40M,"10,000,000+",False,0.0,Everyone,Finance,2018-07-30,6.5.7,4.2 and up
1060,Nubank,FINANCE,4.7,130582,24M,"5,000,000+",False,0.0,Everyone,Finance,2018-08-02,Varies with device,Varies with device
1061,The Societe Generale App,FINANCE,4.1,31218,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1062,IKO,FINANCE,4.7,167168,20M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-04,3.115.27,4.1 and up
1063,Cash App,FINANCE,4.0,34428,15M,"10,000,000+",False,0.0,Everyone,Finance,2018-08-02,2.31.1,5.0 and up
1064,Standard Bank / Stanbic Bank,FINANCE,3.6,15247,28M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-13,3.0.5,4.0.3 and up
1065,Bualuang mBanking,FINANCE,4.0,48445,10M,"5,000,000+",False,0.0,Everyone,Finance,2018-07-16,2.6.0,4.0.3 and up
1066,Intesa Sanpaolo Mobile,FINANCE,3.6,35518,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-02,Varies with device,Varies with device
1067,UBA Mobile Banking,FINANCE,4.3,12185,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-06-08,Varies with device,Varies with device
1068,BBVA Spain,FINANCE,4.2,36746,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-07-24,Varies with device,Varies with device
1069,MyMo by GSB,FINANCE,4.2,21996,14M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-19,1.17.2,4.0.3 and up
1070,VTB-Online,FINANCE,4.1,138371,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-08-02,Varies with device,4.0.3 and up
1071,Ecobank Mobile Banking,FINANCE,4.0,12073,42M,"1,000,000+",False,0.0,Everyone,Finance,2018-05-25,3.3,4.2 and up
1072,Banorte Movil,FINANCE,4.1,111632,65M,"1,000,000+",False,0.0,Everyone,Finance,2018-06-09,5.10.1.40699,4.4 and up
1073,Wells Fargo Mobile,FINANCE,4.4,250706,37M,"10,000,000+",False,0.0,Everyone,Finance,2018-07-31,6.8.0.109,5.0 and up
1074,Credit Karma,FINANCE,4.7,706301,Varies with device,"10,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1075,BZWBK24 mobile,FINANCE,4.5,64959,39M,"1,000,000+",False,0.0,Everyone,Finance,2018-06-18,5.0.1,4.1 and up
1076,PayPal,FINANCE,4.3,659741,47M,"50,000,000+",False,0.0,Everyone,Finance,2018-07-18,6.28.0,4.4 and up
1077,Capital One® Mobile,FINANCE,4.6,510392,79M,"10,000,000+",False,0.0,Everyone,Finance,2018-08-01,5.38.1,5.0 and up
1078,Zenith Bank Mobile App,FINANCE,4.3,7215,18M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-23,2.7.4,4.0 and up
1079,"GCash - Buy Load, Pay Bills, Send Money",FINANCE,4.0,25508,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,4.2 and up
1080,Post Bank,FINANCE,4.5,60449,100M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-23,2.9.12,4.0 and up
1081,İşCep,FINANCE,4.5,381788,32M,"10,000,000+",False,0.0,Everyone,Finance,2018-08-02,3.22.0,4.1 and up
1082,People's Bank,FINANCE,3.6,10697,46M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-18,3.22.1,4.1 and up
1083,Google Pay,FINANCE,4.2,347838,Varies with device,"100,000,000+",False,0.0,Everyone,Finance,2018-07-26,2.70.206190089,Varies with device
1084,Transfer,FINANCE,4.1,31804,9.8M,"5,000,000+",False,0.0,Everyone,Finance,2018-07-27,3.1.6.12,4.0 and up
1085,T-Mobile in,FINANCE,3.5,3856,8.2M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,3.2.1,4.4 and up
1086,TrueMoney Wallet,FINANCE,4.4,199684,18M,"5,000,000+",False,0.0,Everyone,Finance,2018-07-19,Varies with device,Varies with device
1087,Alfa-Bank (Alfa-Bank),FINANCE,4.0,44545,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1088,Bank of Brazil,FINANCE,4.5,1336246,39M,"10,000,000+",False,0.0,Everyone,Finance,2018-08-03,6.39.1.4,4.1 and up
1089,WiseBanyan - Invest For Free,FINANCE,4.2,257,44M,"10,000+",False,0.0,Everyone,Finance,2018-07-31,2.2.12,4.4W and up
1090,"Robinhood - Investing, No Fees",FINANCE,4.6,57493,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1091,Wells Fargo Daily Change,FINANCE,4.2,283,5.0M,"100,000+",False,0.0,Everyone,Finance,2018-04-26,2.5.0.26,5.0 and up
1092,"Even - organize your money, get paid early",FINANCE,4.8,12304,21M,"100,000+",False,0.0,Everyone,Finance,2018-08-02,6.0.16,5.0 and up
1093,Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",False,0.0,Everyone,Finance,2018-07-31,2.29.01,4.1 and up
1094,Stash: Invest. Learn. Save.,FINANCE,4.2,11919,23M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-27,1.13.2.11,4.4 and up
1095,Acorns - Invest Spare Change,FINANCE,4.3,45957,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1096,Google Pay,FINANCE,4.2,347838,Varies with device,"100,000,000+",False,0.0,Everyone,Finance,2018-07-26,2.70.206190089,Varies with device
1097,"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126431,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-08-01,Varies with device,Varies with device
1098,Expense IQ Money Manager,FINANCE,4.4,21570,27M,"1,000,000+",False,0.0,Everyone,Finance,2018-06-19,2.0.4,4.0 and up
1099,Money Manager Expense & Budget,FINANCE,4.6,134564,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-07-25,Varies with device,Varies with device
1100,Wells Fargo Daily Change,FINANCE,4.2,283,5.0M,"100,000+",False,0.0,Everyone,Finance,2018-04-26,2.5.0.26,5.0 and up
1101,"Prism Pay Bills, Track Money, Personal Finance",FINANCE,4.6,16961,32M,"500,000+",False,0.0,Everyone,Finance,2018-08-04,2.12.100,4.1 and up
1102,Monefy - Money Manager,FINANCE,4.6,111254,7.4M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-03,1.8.9,4.0 and up
1103,Simple - Better Banking,FINANCE,4.4,7731,24M,"100,000+",False,0.0,Everyone,Finance,2018-08-02,2.53.2,5.0 and up
1104,Chime - Mobile Banking,FINANCE,4.3,5928,22M,"500,000+",False,0.0,Everyone,Finance,2018-07-22,5.1.1,5.0 and up
1105,Bluebird by American Express,FINANCE,4.2,15703,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-25,Varies with device,Varies with device
1106,Walmart MoneyCard,FINANCE,4.2,6148,10M,"1,000,000+",False,0.0,Everyone,Finance,2018-06-01,1.14.1,4.1 and up
1107,Moven - Smart Finances,FINANCE,3.8,861,17M,"100,000+",False,0.0,Everyone,Finance,2018-05-29,3.3.9,4.4 and up
1108,Qapital - Save Small. Live Large,FINANCE,4.5,8662,38M,"100,000+",False,0.0,Everyone,Finance,2018-07-20,2.5.7,4.4 and up
1109,Experian - Free Credit Report,FINANCE,4.6,23130,46M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-12,2.1.4,4.2 and up
1110,Branch,FINANCE,4.6,69973,3.8M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-23,1.17.1,4.0 and up
1111,"WalletHub - Free Credit Score, Report & Monitoring",FINANCE,4.7,1311,9.3M,"50,000+",False,0.0,Everyone,Finance,2018-06-19,1.4.11,4.4 and up
1112,CreditWise from Capital One,FINANCE,4.6,26587,8.4M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-19,1.18.0,4.4 and up
1113,"NerdWallet: Personal Finance, Credit Score & Cash",FINANCE,4.6,2417,28M,"100,000+",False,0.0,Everyone,Finance,2018-08-03,3.5.0,4.4 and up
1114,Credit Karma,FINANCE,4.7,706302,Varies with device,"10,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1115,my face,FINANCE,3.8,1054,9.7M,"100,000+",False,0.0,Everyone,Finance,2018-07-10,2.3.0,5.0 and up
1116,Credit Sesame,FINANCE,4.3,25166,11M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-25,3.1.16,4.1 and up
1117,"Mint: Budget, Bills, Finance",FINANCE,4.3,129304,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-08-02,Varies with device,Varies with device
1118,Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7.4M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-24,2.9.5,4.0.3 and up
1119,"Hurdlr: Track Mileage, Expenses, and Log Receipts",FINANCE,4.6,3596,19M,"100,000+",False,0.0,Everyone,Finance,2018-07-20,16.6,6.0 and up
1120,Mobills: Budget Planner,FINANCE,4.6,161440,16M,"1,000,000+",False,0.0,Everyone,Finance,2018-08-03,3.2.18.07.30,4.0.3 and up
1121,Everlance: Free Mileage Log,FINANCE,4.7,7514,14M,"100,000+",False,0.0,Everyone,Finance,2018-07-31,1.9.9.9.3,4.4 and up
1122,MileIQ - Free Mileage Tracker for Business,FINANCE,4.5,46106,22M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,1.28.0.5402,4.4 and up
1123,QuickBooks Self-Employed:Mileage Tracker and Taxes,FINANCE,4.4,15141,25M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-24,4.63,5.0 and up
1124,FREE Stock Market Trading Tips,FINANCE,3.9,714,3.6M,"50,000+",False,0.0,Everyone,Finance,2017-06-07,2.10.3,2.3.3 and up
1125,MetaTrader 5,FINANCE,4.5,42410,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-08-03,Varies with device,Varies with device
1126,MetaTrader 4,FINANCE,4.6,260547,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1127,Stock Quote,FINANCE,4.1,4344,4.5M,"500,000+",False,0.0,Everyone,Finance,2018-07-30,3.6.2,4.0 and up
1128,Seeking Alpha,FINANCE,4.5,22808,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-08-03,Varies with device,Varies with device
1129,Stock Trainer: Virtual Trading (Stock Markets),FINANCE,4.4,42809,23M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-27,3.04 - Beta,4.1 and up
1130,Stocks: Realtime Quotes Charts,FINANCE,4.5,16808,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-05-01,Varies with device,Varies with device
1131,"Stocks, Forex, Bitcoin, Ethereum: Portfolio & News",FINANCE,4.6,157505,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-08-01,Varies with device,Varies with device
1132,CNBC: Breaking Business News & Live Market Data,FINANCE,4.2,24647,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-13,Varies with device,Varies with device
1133,US Stock Market,FINANCE,4.4,1922,4.2M,"100,000+",False,0.0,Everyone,Finance,2018-08-01,1.28,2.3 and up
1134,Bloomberg Professional,FINANCE,4.1,3334,Varies with device,"500,000+",False,0.0,Everyone,Finance,2018-07-23,Varies with device,Varies with device
1135,E*TRADE Mobile,FINANCE,3.9,10658,58M,"1,000,000+",False,0.0,Everyone,Finance,2018-08-02,6.8.2,4.4 and up
1136,"Robinhood - Investing, No Fees",FINANCE,4.6,57493,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1137,MSN Money- Stock Quotes & News,FINANCE,4.5,78361,22M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-05,1.2.0,4.2 and up
1138,Fox Business,FINANCE,3.7,2594,Varies with device,"500,000+",False,0.0,Everyone,Finance,2018-03-13,Varies with device,Varies with device
1139,NSE Mobile Trading,FINANCE,4.1,13868,1.4M,"1,000,000+",False,0.0,Everyone,Finance,2017-08-03,1.1.16,2.1 and up
1140,Yahoo Finance,FINANCE,4.4,135952,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-07-30,Varies with device,Varies with device
1141,"JStock - Stock Market, Portfolio & News",FINANCE,4.6,11066,9.1M,"500,000+",False,0.0,Everyone,Finance,2018-07-18,1.1.39,4.0 and up
1142,Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",False,0.0,Everyone,Finance,2018-07-31,2.29.01,4.1 and up
1143,Acorns - Invest Spare Change,FINANCE,4.3,45962,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-07-31,Varies with device,Varies with device
1144,Webull - Stock Quotes & Free Stock Trading,FINANCE,4.3,34861,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-08-03,Varies with device,Varies with device
1145,"Trading 212 - Forex, Stocks, CFDs",FINANCE,4.3,37580,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-08-01,4.5.2.1,4.4 and up
1146,"Moneycontrol – Stocks, Sensex, Mutual Funds, IPO",FINANCE,4.4,281485,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-05-11,Varies with device,Varies with device
1147,Current debit card and app made for teens,FINANCE,4.3,685,21M,"50,000+",False,0.0,Everyone,Finance,2018-08-03,3.0.22,4.4 and up
1148,"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126447,Varies with device,"1,000,000+",False,0.0,Everyone,Finance,2018-08-01,Varies with device,Varies with device
1149,"Mint: Budget, Bills, Finance",FINANCE,4.3,129304,Varies with device,"5,000,000+",False,0.0,Everyone,Finance,2018-08-02,Varies with device,Varies with device
1150,Betterment,FINANCE,4.4,3780,11M,"100,000+",False,0.0,Everyone,Finance,2018-08-03,6.0.6,5.0 and up
1151,Citizens Bank Mobile Banking,FINANCE,4.1,15192,38M,"1,000,000+",False,0.0,Everyone,Finance,2018-05-23,4.2.1,4.1 and up
1152,GoBank,FINANCE,4.4,5950,12M,"500,000+",False,0.0,Everyone,Finance,2018-06-01,2.131,4.1 and up
1153,NetSpend Prepaid,FINANCE,4.2,15993,45M,"1,000,000+",False,0.0,Everyone,Finance,2018-05-09,4.10.0,4.4 and up
1154,BBVA Compass Banking,FINANCE,4.3,5905,50M,"500,000+",False,0.0,Everyone,Finance,2018-07-27,6.0.2,4.4 and up
1155,Simple - Better Banking,FINANCE,4.4,7731,24M,"100,000+",False,0.0,Everyone,Finance,2018-08-02,2.53.2,5.0 and up
1156,PayPal,FINANCE,4.3,659760,47M,"50,000,000+",False,0.0,Everyone,Finance,2018-07-18,6.28.0,4.4 and up
1157,BankMobile Vibe App,FINANCE,4.3,14627,23M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-09,5.1,4.1 and up
1158,Netspend Skylight ONE,FINANCE,3.9,1098,46M,"100,000+",False,0.0,Everyone,Finance,2018-05-09,4.10.0,4.4 and up
1159,ACE Elite,FINANCE,4.1,2898,45M,"100,000+",False,0.0,Everyone,Finance,2018-05-09,4.10.0,4.4 and up
1160,U.S. Bank,FINANCE,4.1,70782,50M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-25,2.34.29,4.0.3 and up
1161,Huntington Mobile,FINANCE,4.2,11264,24M,"1,000,000+",False,0.0,Everyone,Finance,2018-06-26,5.2.203,4.2 and up
1162,USAA Mobile,FINANCE,4.5,100997,33M,"5,000,000+",False,0.0,Everyone,Finance,2018-07-27,8.44.2,5.0 and up
1163,Google Pay,FINANCE,4.2,347874,Varies with device,"100,000,000+",False,0.0,Everyone,Finance,2018-07-26,2.70.206190089,Varies with device
1164,Associated Credit Union Mobile,FINANCE,4.7,3290,12M,"50,000+",False,0.0,Everyone,Finance,2018-05-30,5.9.1.0,5.0 and up
1165,Bank of America Mobile Banking,FINANCE,4.4,341090,53M,"10,000,000+",False,0.0,Everyone,Finance,2018-07-31,7.8.8,4.4 and up
1166,USE Credit Union Mobile,FINANCE,4.6,964,14M,"10,000+",False,0.0,Everyone,Finance,2018-06-12,5.9.1.0,5.0 and up
1167,Discover Mobile,FINANCE,4.6,87951,68M,"5,000,000+",False,0.0,Everyone,Finance,2018-07-23,9.7.0,4.1 and up
1168,Wells Fargo Mobile,FINANCE,4.4,250719,37M,"10,000,000+",False,0.0,Everyone,Finance,2018-07-31,6.8.0.109,5.0 and up
1169,Capital One® Mobile,FINANCE,4.6,510401,79M,"10,000,000+",False,0.0,Everyone,Finance,2018-08-01,5.38.1,5.0 and up
1170,Amex Mobile,FINANCE,4.3,24729,32M,"1,000,000+",False,0.0,Everyone,Finance,2018-08-03,6.7.0,5.0 and up
1171,Citi Mobile®,FINANCE,4.0,78306,46M,"5,000,000+",False,0.0,Everyone,Finance,2018-07-31,9.9.0,4.4 and up
1172,Navy Federal Credit Union,FINANCE,4.4,43313,40M,"1,000,000+",False,0.0,Everyone,Finance,2018-07-09,5.16.2,4.1 and up
1173,Chase Mobile,FINANCE,4.6,1374549,32M,"10,000,000+",False,0.0,Everyone,Finance,2018-07-23,3.52,5.0 and up
1174,HDFC Bank MobileBanking,FINANCE,4.2,208463,Varies with device,"10,000,000+",False,0.0,Everyone,Finance,2018-07-26,Varies with device,Varies with device
1175,Barclays US for Android,FINANCE,4.1,6998,24M,"1,000,000+",False,0.0,Everyone,Finance,2018-08-01,6.29.37589,5.0 and up
1176,McDonald's,FOOD_AND_DRINK,3.6,145323,42M,"10,000,000+",False,0.0,Everyone,Food & Drink,2018-07-31,5.15.0,4.4 and up
1177,Easy and Fast Recipes,FOOD_AND_DRINK,,95,12M,"50,000+",False,0.0,Everyone,Food & Drink,2018-01-06,3.0.1,2.3 and up
1178,Cookpad - FREE recipe search makes fun cooking · musical making!,FOOD_AND_DRINK,4.1,64784,13M,"10,000,000+",False,0.0,Everyone,Food & Drink,2018-08-02,18.6.0.10,5.0 and up
1179,DELISH KITCHEN - FREE recipe movies make food fun and easy!,FOOD_AND_DRINK,4.6,32997,13M,"1,000,000+",False,0.0,Everyone,Food & Drink,2018-08-04,2.2.7,4.1 and up
1180,Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,,82,4.9M,"10,000+",False,0.0,Everyone,Food & Drink,2018-06-23,1.1,4.1 and up
1181,Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9M,"100,000+",False,0.0,Everyone,Food & Drink,2018-05-15,2.12,4.0.3 and up
1182,Delicious Recipes,FOOD_AND_DRINK,4.7,129737,Varies with device,"1,000,000+",False,0.0,Teen,Food & Drink,2018-08-03,Varies with device,Varies with device
1183,Tastely,FOOD_AND_DRINK,4.7,611136,19M,"10,000,000+",False,0.0,Everyone,Food & Drink,2018-07-13,3.2.0d,4.0.3 and up
1184,Pastry & Cooking (Without Net),FOOD_AND_DRINK,4.7,6118,Varies with device,"1,000,000+",False,0.0,Everyone,Food & Drink,2018-07-07,Varies with device,Varies with device
